# evals,min,q25,med,q75,max,ave
50.0,29997.561757195428,35886.34363389027,38660.52502415084,41386.24014622876,46387.25690575696,38563.397869077045
100.0,24604.49121030391,28364.827481627435,33167.47885351072,34691.404966488684,36713.93554432111,31722.36176718605
150.0,11075.763266898588,24438.600826519763,27292.50945389688,30271.678805395804,34482.08107865442,26777.097706812787
200.0,11075.763266898588,19379.86887504373,22666.245290093626,25789.541552656665,31035.23721099565,22768.678124918013
250.0,11075.763266898588,17483.114157275002,19949.310127144112,22183.941091182787,26834.24647983664,19682.456315907235
300.0,11075.763266898588,16057.72806976796,18077.370227575404,19667.475711211846,23140.541633008062,17519.291003796916
350.0,11075.763266898588,12623.747202178967,14987.157399854354,15934.600923433632,19306.973329524648,14696.249380039655
400.0,10226.87769304674,11610.43829885948,13181.397481592081,13870.499584428739,16124.726216129044,13036.666171377492
450.0,7451.1798807537025,9372.565367416435,10568.973780241548,11727.78898634737,14744.68426315566,10749.810689945496
500.0,3746.530642438837,8378.642585247695,9541.633402083462,10559.362289836536,12272.025638502902,9421.712314572833
550.0,3746.530642438837,7678.537493609747,8827.470573331979,9589.978080196102,11819.832337358588,8479.12250488393
600.0,3565.4330108130607,6413.579688650515,7180.11401623561,8569.51611265139,10200.34975897344,7297.231343866651
650.0,3565.4330108130607,5329.963402096093,6612.060538039823,7150.328147550704,8369.100899000403,6410.117780663737
700.0,2889.242790588013,4726.392357242729,5457.561291019369,5999.113430518753,7145.6584787125485,5309.240991771036
750.0,2889.242790588013,4146.797265324062,4903.592588575436,5319.501688271116,5980.61476253548,4779.224116656219
800.0,1810.4974970980968,3403.5846268116084,4303.355846736403,5043.360879688283,5873.917570593737,4183.738196780232
850.0,1810.4974970980968,3028.7918733872566,3742.6918172424926,4231.162496232176,5105.9255883237565,3619.4537322028655
900.0,1810.4974970980968,2460.8996659364216,3037.7062438113708,3591.0723465379474,5053.797628141356,3112.1097079239985
950.0,1629.6583728023868,2312.3896611290766,2713.183416960177,3231.084056970611,4433.1541463473495,2782.7089072796293
1000.0,1267.8583432043827,2033.9344622200947,2431.9909948050545,3005.5633644370355,4433.1541463473495,2512.1102494970373
1050.0,1085.6044617392552,1762.7732334623715,2018.4601720892128,2352.227172140369,3269.7468334625128,2081.3724050421065
1100.0,969.5325008462538,1597.3435568420084,1780.009389928383,1969.9298336671773,2553.7793432314343,1762.3256863475726
1150.0,762.2227030107782,1286.8586856423576,1591.1367026522134,1801.682748394894,2553.7793432314343,1539.190752466307
1200.0,762.2227030107782,1016.7908351403013,1274.7987460429401,1509.0832488623062,1886.6127639175515,1306.7410181389257
1250.0,676.8054570222076,968.7771288433269,1124.162635234628,1258.5679387531313,1601.4100338829678,1133.3268048960422
1300.0,585.9549277502136,805.458785293863,966.3609333581209,1155.2474555661754,1601.4100338829678,996.2009496017332
1350.0,579.710446409916,770.0126938558946,834.8685901308811,984.6791799277902,1601.4100338829678,896.6299893114597
1400.0,543.3623948839019,628.4406301842866,770.7944567813255,909.5831843010582,1133.2732715929294,787.4106845791367
1450.0,339.103784109535,584.5389416211095,744.1767193599761,815.6984584364573,1127.897665776725,721.9004461768021
1500.0,310.9347590065596,483.94611044176304,570.6653138750403,712.53650774007,1103.1941209705851,614.1034376297428
1550.0,266.15825176637134,419.877814561601,528.8879591476664,680.0340697448166,855.6040268288561,538.5113964315428
1600.0,255.40954526176645,367.5546539146685,420.2573360637849,532.5433812803692,740.4184819031283,450.11871613768125
1650.0,228.72612483597047,340.0558564388194,405.79212713080244,476.9810239653565,662.0215674011489,415.2241977370598
