# evals,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30
50.0,36323.44504171326,38397.54583586649,35434.93480055039,39578.1719477576,39478.087049713205,45856.53221353557,39328.140610509196,38756.677739226834,30932.98511261019,38564.372309074846,37100.99478561085,41314.30793668194,36184.59009695628,37033.58692309231,29997.561757195428,41848.33712986861,37448.29927322522,32439.0232027248,45725.61600060668,34198.832353844635,45420.13316881033,31763.751132570327,46387.25690575696,44110.898280140085,39582.266929543,35786.9281462016,32381.279151869727,41145.88359837884,41410.217549411034,42971.27908926504
100.0,36323.44504171326,24604.49121030391,27990.77348065717,34844.50679716401,36122.04959713128,34495.3630595944,36215.72942746116,29252.5519118539,28501.299445106775,30402.735960057005,35363.05061158792,33953.67855515171,29075.816964562848,27357.48591881997,29997.561757195428,26270.88906638192,34684.51812073943,27878.45123105814,34019.725710217666,34198.832353844635,34185.699139970784,31763.751132570327,28319.33682713432,34693.70058173844,36713.93554432111,35786.9281462016,32381.279151869727,34618.68401344369,25759.46561708259,25895.11664064642
150.0,30661.04147615572,23030.941697730515,23623.923058511988,33016.97207819594,20533.744919900564,31626.000992217985,28314.787491260922,27227.53298897379,25311.68928000953,24893.91812676237,24286.82839310556,30988.44622049502,27029.580642184337,27357.48591881997,28124.20832322208,20309.471648610448,11075.763266898588,21656.144603870136,25991.230368367334,34198.832353844635,28253.83016877272,26088.08269462143,28319.33682713432,27762.055828449174,34482.08107865442,30501.54356057024,29582.084539872496,32859.57131374499,25759.46561708259,20446.335726343863
200.0,24540.40975445493,18884.11613413493,23623.923058511988,24875.25171578628,20533.744919900564,23353.50813566392,16468.65191242769,27227.53298897379,17904.00566354342,24893.91812676237,22803.48008782415,23199.29782847804,22529.0104923631,21798.675589124126,19948.353647388078,18690.695691823767,11075.763266898588,19064.943136838578,21946.57891528707,29555.829278740028,28253.83016877272,26088.08269462143,19190.373950928944,21917.00064118156,31035.23721099565,30168.635488978907,27823.355865212423,26834.24647983664,18385.55517574288,20446.335726343863
250.0,23140.541633008062,13880.790368291275,21773.27560550324,24223.29001818034,20533.744919900564,22356.395557202897,16468.65191242769,22486.889708163428,17904.00566354342,21626.47774275508,20025.599256941437,16515.17208759574,19873.020997346783,19474.150876017666,18260.354311772484,13792.1886292286,11075.763266898588,17762.447314331544,21946.57891528707,16648.73071261256,13839.627232841132,20923.84298160224,17390.00310492282,21917.00064118156,24216.693976784823,26504.45169518296,22263.06181648136,26834.24647983664,18385.55517574288,18431.136875632226
300.0,23140.541633008062,13880.790368291275,21773.27560550324,16781.58074044684,16352.200239033624,17769.185279407924,16468.65191242769,20325.30635232371,13095.416327051336,18678.020850465007,20025.599256941437,16515.17208759574,18516.11172071748,19474.150876017666,15959.57068001274,13792.1886292286,11075.763266898588,16525.53515026068,19674.690837367398,16648.73071261256,13839.627232841132,19645.830332745183,12578.528746893173,18694.63496293624,19820.033313530137,20750.136328773468,22263.06181648136,18993.599199077406,18385.55517574288,14135.240479274984
350.0,15723.937411256318,13880.790368291275,15709.467040808959,11618.659062522996,15575.871668323727,11945.892494359392,16468.65191242769,14889.924227655956,12286.5572217084,12282.967862260692,19306.973329524648,15253.511220616469,18516.11172071748,14973.176475322947,14997.274286413116,12604.16746113966,11075.763266898588,11607.698044304976,12682.48642529689,16648.73071261256,13839.627232841132,16124.726216129044,11196.14524854727,15039.317788040036,17984.62810078863,18093.481066724828,16004.822094159405,14977.040513295591,15711.920403543809,13867.160524657244
400.0,13645.050177702877,13880.790368291275,13346.691946513132,11618.659062522996,15310.555300411344,11945.892494359392,13648.6014136457,11753.732944418614,11255.167292881113,12282.967862260692,16085.1548211475,13201.33658570908,15682.191154386586,13392.109282661397,14418.619870767796,11898.43323688653,11075.763266898588,11607.698044304976,10849.938952921228,13161.458377475083,13839.627232841132,16124.726216129044,11196.14524854727,10226.87769304674,15215.08519036871,15654.704994223011,12982.676398989326,11402.226866007482,13528.760818652783,10868.342026353337
450.0,11749.563624632572,9313.181929909693,10176.678391997184,9277.070535124058,10566.917591067117,10663.175513604943,10742.2839662466,11733.812507149723,9837.78996552884,10365.82809562379,14744.68426315566,12302.411877173025,14274.787058543445,9156.713459132474,11230.692844934703,9353.013741965924,11075.763266898588,7451.1798807537025,7779.781727060432,10571.029969415977,13839.627232841132,13825.575490977417,9496.107806475411,10226.87769304674,14205.183150689203,11236.960284658599,11709.71842394031,7707.66078274207,8449.029379307662,9431.220243767966
500.0,11749.563624632572,9313.181929909693,9429.313638458563,9277.070535124058,9448.542703825568,9905.465895173695,10742.2839662466,11175.052295600955,8108.2805722097455,10365.82809562379,6542.829294278496,7668.829730565639,9634.724100341356,9156.713459132474,11230.692844934703,8799.453980330754,10000.12159885473,7451.1798807537025,7779.781727060432,10571.029969415977,11819.832337358588,12272.025638502902,8745.082847163545,10226.87769304674,10794.321529213632,10524.359251098214,10208.2430418712,7707.66078274207,8256.495831275744,3746.530642438837
550.0,8909.858299500414,7873.062410203482,9215.387872343585,9277.070535124058,9448.542703825568,9905.465895173695,8302.99761459141,9067.528253328688,4765.663482416348,5923.385122945201,6542.829294278496,7668.829730565639,9451.519671048758,9156.713459132474,10752.370447948124,7206.267079469574,8254.285170256697,5827.044482977416,7779.781727060432,10571.029969415977,11819.832337358588,8581.440362427744,8745.082847163545,9880.60598045528,10488.795638982952,9636.130883245218,10208.2430418712,7707.66078274207,7659.719408226443,3746.530642438837
