# evals,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30
50.0,10.080861663695476,10.59938648366154,9.858732000470328,10.895142804533483,10.86952126813915,12.464133053678715,10.832043640996519,10.689213486850456,8.733268608689354,10.641109644537538,10.27524873091591,11.328852235624163,10.04614510583924,10.258396731358884,8.499412723565577,11.46208558337145,10.362075316351236,9.109780862755956,12.43140350958176,9.54970749938451,12.355033231628232,8.94093691833048,12.59681597288435,12.027558864600104,10.895565776415454,9.946694153013134,9.095319790818897,11.28646658119147,11.352532599932365,11.7428198069706
100.0,10.080861663695476,7.151123106273189,7.99769678862217,9.711136867176688,10.030514312801063,9.623840750722467,10.053955228410302,8.313138019236979,8.125323842885036,8.600685102314866,9.840696430023826,9.48845203950181,8.26895422147275,7.839363321092798,8.499412723565577,7.567722325685215,9.671132788728816,7.969613045414562,9.504970338009375,9.54970749938451,9.546424841761466,8.94093691833048,8.079887401370563,9.67341772641171,10.178476927451875,9.946694153013134,9.095319790818897,9.654665784529476,7.4398664415327715,7.473748653881261
150.0,8.66525532651543,6.757732799845239,6.905980899226316,9.254243816140937,6.1334286286076365,8.90650024962859,8.078704718830265,7.8068832598788225,7.327960298192659,7.223479532241688,7.07170694875452,8.74711155846103,7.757392939635019,7.839363321092798,8.031052285373942,6.077366677913693,3.769035880225184,6.413839889355758,7.497798184628048,9.54970749938451,8.063463120953166,7.521977019376809,8.079887401370563,7.940513966943792,9.621145422521703,8.625374865473269,8.39559244071139,9.214986318237704,7.4398664415327715,6.111583899717015
200.0,7.135073948979958,5.721029032924485,6.905980899226316,7.218813710276966,6.1334286286076365,6.838378080921849,5.117148885566305,7.8068832598788225,5.476001399045652,7.223479532241688,6.700865607054557,6.799885203380192,6.632254064497255,6.449667838578931,5.987074416203504,5.672673353832675,3.769035880225184,5.766235771429884,6.486645248222514,8.388983460498553,8.063463120953166,7.521977019376809,5.797593488530685,6.479250159862199,8.758809396968934,8.542157803981564,7.955694392860954,7.7085024829920386,5.596389303066873,6.111583899717015
250.0,6.785122779795153,4.470197591634725,6.44331997311536,7.055863000062382,6.1334286286076365,6.589098889328756,5.117148885566305,6.621722267934222,5.476001399045652,6.406619417395844,6.006399499772173,5.128793549822213,5.9682567603997585,5.8685389047775,5.565089217787003,4.448047954511406,3.769035880225184,5.440609904647348,6.486645248222514,5.162182698937427,4.4599066897010085,6.231305203501464,5.34755884365883,6.479250159862199,7.05417047682999,7.6261129206638545,6.565769686872787,7.7085024829920386,5.596389303066873,5.607774076364651
300.0,6.785122779795153,4.470197591634725,6.44331997311536,5.195395124121062,5.088046697288213,5.442286905829256,5.117148885566305,6.081327763237426,4.273854086118524,5.669505837411528,6.006399499772173,5.128793549822213,5.628679755561318,5.8685389047775,4.990144556055345,4.448047954511406,3.769035880225184,5.1313564448001925,5.918719777540619,5.162182698937427,4.4599066897010085,5.911408736607917,4.144631980037385,5.6736059993918575,5.954748317863412,6.187534038595599,6.565769686872787,5.748403992014028,5.596389303066873,4.5338101203116885
350.0,4.9309844591443435,4.470197591634725,4.927371004888087,3.904665438652179,4.893968721567143,3.986473074955384,5.117148885566305,4.722480609879458,4.07163941511787,4.070734301421948,5.826864195582093,4.8133777870275285,5.628679755561318,4.743293485772687,4.74938620935466,4.151041941736622,3.769035880225184,3.9019185369462006,4.1706216139257375,5.162182698937427,4.4599066897010085,5.03118185516608,3.79900942305498,4.759826918431516,5.4961570246688005,5.523368888598422,5.001205323492249,4.744252724386349,4.9279792401697655,4.466790049260264
400.0,4.411267673622228,4.470197591634725,4.336467919723964,3.904665438652179,4.827639232989733,3.986473074955384,4.4121502335419365,3.9384337269653105,3.8137922972259326,4.070734301421948,5.021311098420632,4.300333986655296,4.919500950240468,4.348026739443869,4.604735819183009,3.974608200786717,3.769035880225184,3.9019185369462006,3.712499025608936,4.290364124333555,4.4599066897010085,5.03118185516608,3.79900942305498,3.556713351379851,4.803804954294832,4.9136904989095775,4.245661468730942,3.850561009473636,4.3821897018035845,3.717085496197084
450.0,3.937392107906728,3.32829547669186,3.5441673161998684,3.319269819489113,3.6417205273642206,3.6658011468961456,3.685575966666237,3.933453031457367,3.459447317400841,3.5914570977984015,4.686041157854431,4.07560153877479,4.570043037107928,3.2891788314125154,3.8076747807399065,3.338253462310749,3.769035880225184,2.8627949683304723,2.9449506101409537,3.6427573313759383,4.4599066897010085,4.456393873812827,3.3740337662033775,3.556713351379851,4.551297169487889,3.809266081025611,3.927429968766184,2.926952629201612,3.1122581337518103,3.357805203420252
500.0,3.937392107906728,3.32829547669186,3.357328283190954,3.319269819489113,3.362145246092118,3.476381054977953,3.685575966666237,3.7937566991632745,3.027070035024672,3.5914570977984015,2.635701922147776,2.9172077340757827,3.4086733828860556,3.2891788314125154,3.8076747807399065,3.1998634725704247,3.5000409396730263,2.8627949683304723,2.9449506101409537,3.6427573313759383,3.954963169399112,4.06800655819461,3.1862878580517364,3.556713351379851,3.700374700740505,3.63109735197222,3.552060268895479,2.926952629201612,3.06410896871252,1.9366277297073609
