# evals,min,q25,med,q75,max,ave
50.0,8.499412723565577,9.97155689121966,10.665161565693996,11.346612508855316,12.59681597288435,10.64087548832621
100.0,7.151123106273189,8.091246511749182,9.291885915160353,9.672846491990986,10.178476927451875,8.93059130180397
150.0,3.769035880225184,7.109650094626312,7.82312329048581,8.5679292592828,9.621145422521703,7.694297853692342
200.0,3.769035880225184,5.84496372044889,6.666559835775907,7.4473526475930285,8.758809396968934,6.692165309663438
250.0,3.769035880225184,5.37082160890596,5.987328130085966,6.545988577210219,7.7085024829920386,5.920628743170075
300.0,3.769035880225184,5.014620091363562,5.519338104448065,5.916892017307443,6.785122779795153,5.37981045101945
350.0,3.769035880225184,4.1559368597839015,4.746819466870504,4.983650107405272,5.826864195582093,4.674058124827544
400.0,3.556713351379851,3.9026052623726954,4.295349055494426,4.467624866151295,5.03118185516608,4.2591320100429595
450.0,2.8627949683304723,3.343141397588125,3.6422389293700794,3.9319472657845713,4.686041157854431,3.687498942429803
500.0,1.9366277297073609,3.0946536910473244,3.385409314489087,3.6398423365250085,4.06800655819461,3.3554902782203055
550.0,1.9366277297073609,2.91964395785724,3.2068759647334923,3.3975144420572962,3.954963169399112,3.119776645765868
600.0,1.8912721284073752,2.6033893252255798,2.7950203013023622,3.142393757151602,3.550456657548364,2.8243212600485847
650.0,1.8912721284073752,2.3324924240803955,2.652723728821605,2.7875816371667117,3.0922718310655544,2.602478474195871
700.0,1.722311922914865,2.1814056724666084,2.363718237004824,2.4997970504838842,2.786413655730687,2.327187954236759
750.0,1.722311922914865,2.036698744000275,2.2258871343449353,2.329676158147749,2.495156357532645,2.1947673954796354
800.0,1.4526083583239804,1.8508954188356248,2.076108383000947,2.2608413254377533,2.468477242242184,2.0459344332200895
850.0,1.4526083583239804,1.7571972841259411,1.9356932981690287,2.057787081300966,2.276484677370952,1.9048458133086075
900.0,1.4526083583239804,1.6039461784395939,1.7594162643944193,1.8982521398094532,2.2634496716523183,1.7735175275183566
950.0,1.4075180732522004,1.558542670750711,1.6783008455652793,1.8077949362102135,2.108295281302656,1.6910868306440716
1000.0,1.316961871034367,1.4972650304925672,1.586788439288176,1.7513747584086263,2.108295281302656,1.623425105417213
1050.0,1.2713752511189276,1.427224846711427,1.5021497828801178,1.5618590913327528,1.817439705735022,1.5143438266269804
1100.0,1.2423589524268714,1.3912891931204432,1.441644682530288,1.4924030431864699,1.6588635886831673,1.4319987018758478
1150.0,1.1905893632465527,1.3155995526399036,1.3974994322179306,1.4504243844025997,1.6588635886831673,1.3812784573862464
1200.0,1.1905893632465527,1.2541073496468218,1.3112455838198755,1.3705806611138882,1.5795410290167995,1.3262691637502848
1250.0,1.1691998531443026,1.2410018053474758,1.2748909131411037,1.3138495526679772,1.4003543791935376,1.2795216430879226
1300.0,1.14653644511534,1.2023063966982004,1.242226971929942,1.29320075347607,1.4003543791935376,1.2520106422747739
1350.0,1.1425982299913984,1.1928956436714397,1.2151376524974196,1.2449405748869782,1.4003543791935376,1.2266147334488302
1400.0,1.1358414513521524,1.1570779769665729,1.202328077058459,1.2357162639747497,1.3038413994521485,1.2011489477591175
1450.0,1.1147032015151535,1.1449254025570252,1.1791979473184062,1.2058182388592167,1.2819755231911352,1.1827137494513542
1500.0,1.0777350506836367,1.1301502888135588,1.1448593547687098,1.1755929044593847,1.275818657991064,1.1548115308841505
1550.0,1.0665380968638427,1.1096458570023855,1.1215807690826953,1.1698909571424445,1.2081459166709891,1.1327745883834863
1600.0,1.0638545153306211,1.0962459926158736,1.107306941291085,1.1225289071330582,1.18510835192485,1.1159822376603807
1650.0,1.0573139844404058,1.0882491454268368,1.0969914769074498,1.1119584453080367,1.169452014879074,1.1035428961755394
